package	num	num_dang	perm_normal	perm_dang
ru.sberbankmobile	44	10	android.permission.SYSTEM_ALERT_WINDOW,android.permission.WAKE_LOCK,android.permission.ACCESS_WIFI_STATE,com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE,android.permission.ACCESS_NETWORK_STATE,android.permission.GET_TASKS,android.permission.QUERY_ALL_PACKAGES,android.permission.WRITE_EMBEDDED_SUBSCRIPTIONS,android.permission.RECEIVE_BOOT_COMPLETED,ru.sberbankmobile.permission.PROCESS_PUSH_MSG,ru.sberbankmobile.permission.PUSH_PROVIDER,android.permission.DOWNLOAD_WITHOUT_NOTIFICATION,android.permission.USE_FINGERPRINT,android.permission.INTERNET,com.huawei.appmarket.service.commondata.permission.GET_COMMON_DATA,android.permission.USE_BIOMETRIC,android.permission.WRITE_SETTINGS,android.permission.REQUEST_DELETE_PACKAGES,android.permission.BLUETOOTH,android.permission.CHANGE_WIFI_STATE,android.permission.QUICKBOOT_POWERON,android.permission.CHANGE_NETWORK_STATE,android.permission.FOREGROUND_SERVICE,android.permission.KILL_BACKGROUND_PROCESSES,android.permission.REQUEST_IGNORE_BATTERY_OPTIMIZATIONS,android.permission.MANAGE_EXTERNAL_STORAGE,com.google.android.gms.permission.AD_ID,android.permission.BLUETOOTH_ADMIN,com.google.android.c2dm.permission.RECEIVE,android.permission.VIBRATE,android.permission.MODIFY_AUDIO_SETTINGS,android.permission.NFC,android.permission.REQUEST_INSTALL_PACKAGES,android.permission.ACCESS_COARSE_UPDATES	android.permission.ACCESS_COARSE_LOCATION,android.permission.READ_PHONE_STATE,android.permission.READ_CONTACTS,android.permission.READ_EXTERNAL_STORAGE,android.permission.GET_ACCOUNTS,android.permission.CALL_PHONE,android.permission.ACCESS_FINE_LOCATION,android.permission.RECORD_AUDIO,android.permission.WRITE_EXTERNAL_STORAGE,android.permission.CAMERA
ru.vtb24.mobilebanking.android	55	13	android.permission.ACCESS_WIFI_STATE,com.huawei.permission.external_app_settings.USE_COMPONENT,android.permission.AUTHENTICATE_ACCOUNTS,ru.vtb24.mobilebanking.android.permission.PROCESS_PUSH_MSG,oppo.permission.OPPO_COMPONENT_SAFE,android.permission.INTERNET,android.permission.ACCESS_BACKGROUND_LOCATION,com.google.android.gms.permission.AD_ID,ru.vtb24.mobilebanking.android.permission.pushserver.RECEIVE,android.permission.READ_SYNC_SETTINGS,android.permission.SYSTEM_ALERT_WINDOW,android.permission.MANAGE_ACCOUNTS,ru.vtb.sdk.unp.permission.MESSAGING_EVENT,android.permission.WAKE_LOCK,com.google.android.c2dm.permission.RECEIVE,android.permission.ACCESS_NETWORK_STATE,android.permission.NFC,android.permission.VIBRATE,com.android.launcher.permission.INSTALL_SHORTCUT,android.permission.WRITE_SYNC_SETTINGS,android.permission.GET_TASKS,com.huawei.appmarket.service.commondata.permission.GET_COMMON_DATA,android.permission.USE_FINGERPRINT,android.permission.CHANGE_WIFI_STATE,ru.vtb.mobilebanking.widget.pushinbox.api.permission.WIDGET_REFRESH_EVENT,android.permission.MODIFY_AUDIO_SETTINGS,com.samsung.android.providers.context.permission.WRITE_USE_APP_FEATURE_SURVEY,com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE,android.permission.REQUEST_INSTALL_PACKAGES,android.permission.REQUEST_DELETE_PACKAGES,ru.vtb24.mobilebanking.android.permission.PUSH_PROVIDER,android.permission.RECEIVE_BOOT_COMPLETED,android.permission.USE_BIOMETRIC,android.permission.BLUETOOTH,android.permission.REORDER_TASKS,android.permission.BLUETOOTH_ADMIN,android.permission.BIND_REMOTEVIEWS,ru.vtb.sdk.unp.permission.INIT_EVENT,android.permission.WRITE_INTERNAL_STORAGE,android.permission.FOREGROUND_SERVICE,android.permission.BROADCAST_STICKY,android.permission.QUERY_ALL_PACKAGES	android.permission.CALL_PHONE,android.permission.WRITE_CONTACTS,android.permission.ACCESS_COARSE_LOCATION,android.permission.GET_ACCOUNTS,android.permission.CAMERA,android.permission.READ_CONTACTS,android.permission.WRITE_CALENDAR,android.permission.READ_CALENDAR,android.permission.WRITE_EXTERNAL_STORAGE,android.permission.ACCESS_FINE_LOCATION,android.permission.RECORD_AUDIO,android.permission.READ_EXTERNAL_STORAGE,android.permission.READ_PHONE_STATE
ru.nspk.sbpay	19	2	android.permission.REQUEST_INSTALL_PACKAGES,ru.nspk.sbpay.DOCUMENT_VIEW,android.permission.WAKE_LOCK,com.google.android.gms.permission.AD_ID,android.permission.ACCESS_NETWORK_STATE,android.permission.USE_CREDENTIALS,android.permission.NFC,ru.nspk.sbpay.permission.PROCESS_PUSH_MSG,com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE,com.huawei.appmarket.service.commondata.permission.GET_COMMON_DATA,com.google.android.c2dm.permission.RECEIVE,android.permission.ACCESS_WIFI_STATE,android.permission.VIBRATE,android.permission.FOREGROUND_SERVICE,ru.nspk.sbpay.permission.PUSH_PROVIDER,android.permission.RECEIVE_BOOT_COMPLETED,android.permission.INTERNET	android.permission.GET_ACCOUNTS,android.permission.CAMERA
ru.nspk.mirpay	19	2	android.permission.NFC,android.permission.REQUEST_INSTALL_PACKAGES,ru.nspk.mirpay.permission.PROCESS_PUSH_MSG,android.permission.RECEIVE_BOOT_COMPLETED,com.huawei.appmarket.service.commondata.permission.GET_COMMON_DATA,com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE,com.google.android.gms.permission.AD_ID,android.permission.ACCESS_NETWORK_STATE,ru.nspk.mirpay.DOCUMENT_VIEW,com.google.android.c2dm.permission.RECEIVE,ru.nspk.mirpay.permission.PUSH_PROVIDER,android.permission.INTERNET,android.permission.USE_CREDENTIALS,android.permission.ACCESS_WIFI_STATE,android.permission.WAKE_LOCK,android.permission.FOREGROUND_SERVICE,android.permission.VIBRATE	android.permission.GET_ACCOUNTS,android.permission.CAMERA
ru.alfabank.mobile.android	35	10	android.permission.ACCESS_NETWORK_STATE,android.permission.USE_FINGERPRINT,ru.alfabank.mobile.android.permission.pushserver.RECEIVE,android.permission.RECEIVE_BOOT_COMPLETED,com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE,android.permission.CHANGE_WIFI_STATE,android.permission.REQUEST_DELETE_PACKAGES,com.google.android.c2dm.permission.RECEIVE,android.permission.BLUETOOTH,android.permission.MODIFY_AUDIO_SETTINGS,com.google.android.providers.gsf.permission.READ_GSERVICES,android.permission.REQUEST_INSTALL_PACKAGES,com.huawei.appmarket.service.commondata.permission.GET_COMMON_DATA,android.permission.WAKE_LOCK,android.permission.BLUETOOTH_ADMIN,android.permission.FOREGROUND_SERVICE,android.permission.SYSTEM_ALERT_WINDOW,android.permission.VIBRATE,android.permission.NFC,android.permission.FLASHLIGHT,android.permission.USE_BIOMETRIC,com.google.android.gms.permission.AD_ID,android.permission.INTERNET,android.permission.ACCESS_WIFI_STATE,android.permission.HIGH_SAMPLING_RATE_SENSORS	android.permission.ACCESS_COARSE_LOCATION,android.permission.ACCESS_FINE_LOCATION,android.permission.READ_EXTERNAL_STORAGE,android.permission.READ_PHONE_STATE,android.permission.WRITE_CONTACTS,android.permission.WRITE_EXTERNAL_STORAGE,android.permission.GET_ACCOUNTS,android.permission.RECORD_AUDIO,android.permission.CAMERA,android.permission.READ_CONTACTS
ru.vtb.invest	36	6	android.permission.WAKE_LOCK,android.permission.INTERNET,com.huawei.android.launcher.permission.CHANGE_BADGE,com.sec.android.provider.badge.permission.READ,com.huawei.android.launcher.permission.READ_SETTINGS,com.sec.android.provider.badge.permission.WRITE,android.permission.RECEIVE_BOOT_COMPLETED,android.permission.FOREGROUND_SERVICE,me.everything.badger.permission.BADGE_COUNT_WRITE,android.permission.ACCESS_WIFI_STATE,android.permission.VIBRATE,android.permission.ACCESS_NETWORK_STATE,android.permission.USE_FINGERPRINT,com.htc.launcher.permission.READ_SETTINGS,com.oppo.launcher.permission.READ_SETTINGS,com.oppo.launcher.permission.WRITE_SETTINGS,com.majeur.launcher.permission.UPDATE_BADGE,android.permission.SYSTEM_ALERT_WINDOW,android.permission.READ_APP_BADGE,me.everything.badger.permission.BADGE_COUNT_READ,com.htc.launcher.permission.UPDATE_SHORTCUT,com.huawei.android.launcher.permission.WRITE_SETTINGS,com.android.vending.CHECK_LICENSE,com.sonymobile.home.permission.PROVIDER_INSERT_BADGE,com.anddoes.launcher.permission.UPDATE_COUNT,com.google.android.c2dm.permission.RECEIVE,com.sonyericsson.home.permission.BROADCAST_BADGE,android.permission.REQUEST_INSTALL_PACKAGES,com.google.android.gms.permission.AD_ID,com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE	android.permission.READ_EXTERNAL_STORAGE,android.permission.CAMERA,android.permission.READ_PHONE_STATE,android.permission.ACCESS_COARSE_LOCATION,android.permission.ACCESS_FINE_LOCATION,android.permission.WRITE_EXTERNAL_STORAGE
ru.rutube.app	13	2	com.google.android.c2dm.permission.RECEIVE,android.permission.ACCESS_WIFI_STATE,android.permission.INTERNET,com.huawei.appmarket.service.commondata.permission.GET_COMMON_DATA,com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE,android.permission.REQUEST_INSTALL_PACKAGES,android.permission.WAKE_LOCK,android.permission.FOREGROUND_SERVICE,com.android.vending.BILLING,android.permission.ACCESS_NETWORK_STATE,android.permission.RECEIVE_BOOT_COMPLETED	android.permission.READ_EXTERNAL_STORAGE,android.permission.WRITE_EXTERNAL_STORAGE
ru.aliexpress.buyer	32	7	android.permission.ACCESS_WIFI_STATE,ru.aliexpress.buyer.permission.PROCESS_PUSH_MSG,android.permission.VIBRATE,com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE,android.permission.GET_TASKS,android.permission.CAPTURE_VIDEO_OUTPUT,android.permission.RECEIVE_BOOT_COMPLETED,android.permission.INTERNET,android.permission.READ_SETTINGS,android.permission.CHANGE_NETWORK_STATE,android.permission.FOREGROUND_SERVICE,android.permission.SYSTEM_ALERT_WINDOW,cn.org.ifaa.permission.USE_IFAA_MANAGER,com.google.android.c2dm.permission.RECEIVE,android.permission.MODIFY_AUDIO_SETTINGS,android.permission.WRITE_SETTINGS,android.permission.USE_FINGERPRINT,android.permission.MANAGE_FINGERPRINT,com.google.android.gms.permission.AD_ID,android.permission.WAKE_LOCK,android.permission.CHANGE_WIFI_STATE,ru.aliexpress.buyer.permission.MIPUSH_RECEIVE,android.permission.FLASHLIGHT,com.android.providers.media.MediaProvider,android.permission.ACCESS_NETWORK_STATE	android.permission.ACCESS_COARSE_LOCATION,android.permission.READ_PHONE_STATE,android.permission.CAMERA,android.permission.READ_EXTERNAL_STORAGE,android.permission.ACCESS_FINE_LOCATION,android.permission.WRITE_EXTERNAL_STORAGE,android.permission.RECORD_AUDIO
com.vkontakte.android	73	12	me.everything.badger.permission.BADGE_COUNT_READ,android.permission.ACCESS_MEDIA_LOCATION,com.sec.android.provider.badge.permission.WRITE,com.vk.usersstore.permission.SAVE,com.vk.calls.usersstore.permission.LOAD,com.google.android.providers.gsf.permission.READ_GSERVICES,com.htc.launcher.permission.READ_SETTINGS,com.vkontakte.android.permission.APP_REDIRECT,com.oppo.launcher.permission.WRITE_SETTINGS,android.permission.MODIFY_AUDIO_SETTINGS,com.huawei.android.launcher.permission.WRITE_SETTINGS,android.permission.ACTIVITY_RECOGNITION,com.huawei.android.launcher.permission.READ_SETTINGS,com.sec.android.provider.badge.permission.READ,android.permission.READ_APP_BADGE,me.everything.badger.permission.BADGE_COUNT_WRITE,android.permission.READ_SYNC_SETTINGS,android.permission.SYSTEM_ALERT_WINDOW,android.permission.BLUETOOTH,com.vk.usersstore.permission.LOAD,com.vk.im.usersstore.permission.LOAD,com.vk.clips.usersstore.permission.LOAD,android.permission.QUICKBOOT_POWERON,com.anddoes.launcher.permission.UPDATE_COUNT,android.permission.USE_BIOMETRIC,com.sonyericsson.home.permission.BROADCAST_BADGE,com.android.launcher.permission.INSTALL_SHORTCUT,com.vk.im.usersstore.permission.SAVE,android.permission.ACCESS_WIFI_STATE,com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE,android.permission.VIBRATE,com.vk.calls.usersstore.permission.SAVE,com.vkontakte.android.permission.ACCESS_DATA,android.permission.FOREGROUND_SERVICE,android.permission.BLUETOOTH_ADMIN,com.google.android.c2dm.permission.RECEIVE,com.sonymobile.home.permission.PROVIDER_INSERT_BADGE,com.majeur.launcher.permission.UPDATE_BADGE,android.permission.USE_FULL_SCREEN_INTENT,android.permission.WAKE_LOCK,com.vkontakte.android.permission.MAPS_RECEIVE,com.vk.clips.usersstore.permission.SAVE,android.provider.Telephony.SMS_RECEIVED,android.permission.CHANGE_WIFI_STATE,com.vkontakte.android.usersstore.permission.SAVE,android.permission.AUTHENTICATE_ACCOUNTS,android.permission.NFC,android.gms.permission.ACTIVITY_RECOGNITION,com.htc.launcher.permission.UPDATE_SHORTCUT,com.huawei.android.launcher.permission.CHANGE_BADGE,com.google.android.gms.permission.AD_ID,android.permission.ACCESS_NETWORK_STATE,android.permission.RECEIVE_BOOT_COMPLETED,com.oppo.launcher.permission.READ_SETTINGS,com.android.vending.BILLING,android.permission.WRITE_SYNC_SETTINGS,android.permission.CHANGE_NETWORK_STATE,android.permission.INTERNET,com.vkontakte.android.usersstore.permission.LOAD,android.permission.USE_FINGERPRINT,android.permission.MANAGE_OWN_CALLS	android.permission.CAMERA,android.permission.GET_ACCOUNTS,android.permission.READ_PHONE_NUMBERS,android.permission.ACCESS_FINE_LOCATION,android.permission.WRITE_EXTERNAL_STORAGE,android.permission.READ_CONTACTS,android.permission.ACCESS_COARSE_LOCATION,android.permission.READ_PHONE_STATE,android.permission.WRITE_CONTACTS,android.permission.READ_EXTERNAL_STORAGE,android.permission.RECORD_AUDIO,android.permission.READ_CALL_LOG
ru.goods.marketplace	26	6	android.permission.USE_FINGERPRINT,android.permission.RECEIVE_BOOT_COMPLETED,ru.goods.marketplace.permission.PROCESS_PUSH_MSG,com.google.android.gms.permission.AD_ID,android.permission.REQUEST_INSTALL_PACKAGES,android.permission.FOREGROUND_SERVICE,android.permission.BLUETOOTH,ru.goods.marketplace.permission.PUSH_PROVIDER,android.permission.ACCESS_WIFI_STATE,com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE,com.google.android.providers.gsf.permission.READ_GSERVICES,android.permission.CHANGE_WIFI_STATE,android.permission.INTERNET,android.permission.BLUETOOTH_ADMIN,com.huawei.appmarket.service.commondata.permission.GET_COMMON_DATA,android.permission.WAKE_LOCK,com.google.android.c2dm.permission.RECEIVE,android.permission.VIBRATE,android.permission.USE_BIOMETRIC,android.permission.ACCESS_NETWORK_STATE	android.permission.WRITE_EXTERNAL_STORAGE,android.permission.ACCESS_COARSE_LOCATION,android.permission.CAMERA,android.permission.READ_EXTERNAL_STORAGE,android.permission.ACCESS_FINE_LOCATION,android.permission.READ_PHONE_STATE
